"Ticker","Period","Date","Open","High","Low","Close","Volume"
"XYL","Month","Sep 29, 2023",104.12000274658203,104.16000366210938,89.5,91.02999877929688,36026462
"XYL","Month","Aug 31, 2023",112.44000244140625,117.3499984741211,98.41000366210938,103.54000091552734,31546303
"XYL","Month","Jul 31, 2023",113.05999755859375,113.19999694824219,112.1500015258789,112.75,971198
"XYL","Month","Jun 30, 2023",100.33999633789062,114.87000274658203,99.72000122070312,112.62000274658203,37393795
"XYL","Month","May 31, 2023",103.80000305175781,110.83999633789062,96.08499908447266,100.19999694824219,76606309
"XYL","Month","Apr 28, 2023",104.12000274658203,105.77999877929688,99.1500015258789,103.83999633789062,25388247
"XYL","Month","Mar 31, 2023",103.01000213623047,104.9000015258789,103.,104.69999694824219,2059389
"XYL","Month","Feb 28, 2023",102.77,103.57,102.15,102.65,1971084
"XYL","Month","Jan 31, 2023",101.73,104.01,100.69,104.01,2165416
"XYL","Month","Dec 30, 2022",113.43,116.78,107.25,110.57,15818370
"XYL","Month","Nov 30, 2022",106.73,114.17,102.74,112.35,20187204
"XYL","Month","Oct 31, 2022",88.27,103.55,84.15,102.43,18599177
"XYL","Month","Sep 30, 2022",90.85,97.69,87.21,87.36,24368701
"XYL","Month","Aug 31, 2022",90.94,104.22,90.48,91.1,19382571
"XYL","Month","Jul 29, 2022",78.43,92.3,73.8,92.03,17585485
"XYL","Month","Jun 30, 2022",84.95,87.23,72.08,78.18,22213879
"XYL","Month","May 31, 2022",80.29,90.58,78.92,84.25,26185214
"XYL","Month","Apr 29, 2022",86.43,88.79,80.3,80.5,25051702
"XYL","Month","Mar 31, 2022",88.96,90.28,82.03,85.26,33855433
"XYL","Month","Feb 28, 2022",105.47,106.17,84.74,88.95,32003108
"XYL","Month","Jan 31, 2022",120.21,121.05,98.7,105.02,26452248
"XYL","Month","Dec 31, 2021",123.15,125.38,112.64,119.92,23266157
"XYL","Month","Nov 30, 2021",131.04,134.29,119.89,121.11,16571853
"XYL","Month","Oct 29, 2021",122.43,132.65,118.04,130.59,14100052
"XYL","Month","Sep 30, 2021",136.26,138.78,123.68,123.68,16398520
"XYL","Month","Aug 31, 2021",126.67,137.26,122.01,136.31,15920998
"XYL","Month","Jul 30, 2021",121.,126.03,115.95,125.85,15885338
"XYL","Month","Jun 30, 2021",119.36,120.34,112.17,119.96,19960401
"XYL","Month","May 28, 2021",111.51,121.,110.42,118.12,15149127
"XYL","Month","Apr 30, 2021",106.13,112.64,104.12,110.65,12677007
"XYL","Month","Mar 31, 2021",100.61,106.4,96.69,105.18,22039246
"XYL","Month","Feb 26, 2021",97.78,102.4,94.63,99.56,24743343
"XYL","Month","Jan 29, 2021",102.03,108.84,96.04,96.59,22104237
"XYL","Month","Dec 31, 2020",97.52,101.87,95.14,101.79,18171343
"XYL","Month","Nov 30, 2020",88.84,99.06,85.58,95.97,17134584
"XYL","Month","Oct 30, 2020",84.5,93.14,80.95,87.14,17302652
"XYL","Month","Sep 30, 2020",80.38,87.64,79.72,84.12,20691954
"XYL","Month","Aug 31, 2020",73.35,82.06,72.57,80.18,14217569
"XYL","Month","Jul 31, 2020",65.03,77.36,63.63,72.98,26055345
"XYL","Month","Jun 30, 2020",66.34,73.93,60.92,64.96,32141272
"XYL","Month","May 29, 2020",70.88,71.18,56.63,66.34,27455710
"XYL","Month","Apr 30, 2020",61.97,75.43,57.75,71.9,28797345
"XYL","Month","Mar 31, 2020",77.95,85.69,54.62,65.13,38516463
"XYL","Month","Feb 28, 2020",82.49,89.34,75.54,77.34,33120160
"XYL","Month","Jan 31, 2020",79.16,83.96,78.7,81.66,22357903
"XYL","Month","Dec 31, 2019",77.46,79.46,73.88,78.79,17155184
"XYL","Month","Nov 29, 2019",77.48,79.69,75.24,77.51,21849762
