"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZBH","Month","Sep 29, 2023",119.61000061035156,123.7699966430664,108.5199966430664,112.22000122070312,34510363
"ZBH","Month","Aug 31, 2023",131.0800018310547,134.,113.98999786376953,119.12000274658203,42323686
"ZBH","Month","Jul 31, 2023",139.30999755859375,139.30999755859375,137.6750030517578,138.14999389648438,1619498
"ZBH","Month","Jun 30, 2023",127.54000091552734,147.5,126.5250015258789,145.60000610351562,29952415
"ZBH","Month","May 31, 2023",138.27999877929688,149.25,124.69999694824219,127.33999633789062,36930093
"ZBH","Month","Apr 28, 2023",128.82000732421875,140.2899932861328,126.86000061035156,138.44000244140625,22563214
"ZBH","Month","Mar 31, 2023",127.91999816894531,129.32000732421875,127.68499755859375,129.1999969482422,1212585
"ZBH","Month","Feb 28, 2023",123.21,124.18,122.72,123.87,1341773
"ZBH","Month","Jan 31, 2023",126.09,127.36,125.16,127.34,1233792
"ZBH","Month","Dec 30, 2022",120.99,130.84,120.35,127.5,27414917
"ZBH","Month","Nov 30, 2022",113.66,120.14,103.75,120.1,25819264
"ZBH","Month","Oct 31, 2022",106.01,113.74,102.6,113.35,22287695
"ZBH","Month","Sep 30, 2022",106.07,119.63,103.74,104.55,24460750
"ZBH","Month","Aug 31, 2022",109.25,117.92,106.11,106.32,19383748
"ZBH","Month","Jul 29, 2022",105.21,111.39,100.39,110.39,23503723
"ZBH","Month","Jun 30, 2022",120.83,122.21,101.22,105.06,28429538
"ZBH","Month","May 31, 2022",121.33,126.79,111.5,120.21,28159389
"ZBH","Month","Apr 29, 2022",126.75,135.05,120.39,120.75,27717919
"ZBH","Month","Mar 31, 2022",124.77,129.9,114.27,127.9,44166746
"ZBH","Month","Feb 28, 2022",119.49,123.6,105.23,123.39,40197152
"ZBH","Month","Jan 31, 2022",123.54,129.6,114.36,119.34,36758875
"ZBH","Month","Dec 31, 2021",117.59,126.44,113.12,123.24,41828490
"ZBH","Month","Nov 30, 2021",139.25,144.3,115.98,116.03,38370115
"ZBH","Month","Oct 29, 2021",143.08,147.31,135.08,138.84,19083224
"ZBH","Month","Sep 30, 2021",146.26,149.17,135.15,141.99,33956485
"ZBH","Month","Aug 31, 2021",159.18,160.45,138.59,145.96,38050023
"ZBH","Month","Jul 30, 2021",156.68,160.05,144.88,158.54,23795443
"ZBH","Month","Jun 30, 2021",164.41,164.9,151.08,156.01,31183979
"ZBH","Month","May 28, 2021",173.17,173.42,158.2,163.3,21303900
"ZBH","Month","Apr 30, 2021",155.3,174.97,153.63,171.87,20230586
"ZBH","Month","Mar 31, 2021",160.09,161.49,149.5,155.3,28085590
"ZBH","Month","Feb 26, 2021",150.24,164.97,147.69,158.19,26586033
"ZBH","Month","Jan 29, 2021",151.02,160.97,146.29,149.08,24065331
"ZBH","Month","Dec 31, 2020",145.99,150.14,136.92,149.49,19061210
"ZBH","Month","Nov 30, 2020",129.87,160.22,126.93,144.66,27028576
