"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZBH","Week","Oct 10, 2023",110.2699966430664,112.94999694824219,109.7969970703125,112.19000244140625,1852181
"ZBH","Week","Oct 6, 2023",111.3499984741211,111.93000030517578,108.0999984741211,110.91000366210938,7512061
"ZBH","Week","Sep 29, 2023",116.77999877929688,117.61499786376953,108.5199966430664,112.22000122070312,11544597
"ZBH","Week","Sep 22, 2023",121.30999755859375,123.01000213623047,116.37000274658203,116.8499984741211,6363561
"ZBH","Week","Sep 15, 2023",121.22000122070312,123.3499984741211,120.41999816894531,121.30999755859375,6947678
"ZBH","Week","Sep 8, 2023",119.55999755859375,123.7699966430664,117.5,120.6500015258789,8191188
"ZBH","Week","Sep 1, 2023",119.61000061035156,119.79499816894531,118.11000061035156,119.44999694824219,1463339
"ZBH","Week","Aug 25, 2023",114.58000183105469,115.77999877929688,114.16000366210938,115.23999786376953,1456737
"ZBH","Week","Aug 18, 2023",119.08999633789062,119.58999633789062,118.16999816894531,119.18000030517578,1329563
"ZBH","Week","Aug 11, 2023",126.7699966430664,127.41999816894531,123.19000244140625,123.93000030517578,7097410
"ZBH","Week","Aug 4, 2023",139.30999755859375,139.30999755859375,125.58499908447266,126.31999969482422,11033336
"ZBH","Week","Jul 28, 2023",140.4499969482422,140.77000427246094,138.50999450683594,139.33999633789062,997061
"ZBH","Week","Jul 21, 2023",142.11000061035156,143.24000549316406,139.3000030517578,142.22999572753906,5996824
"ZBH","Week","Jul 14, 2023",141.25,144.1300048828125,141.16000366210938,142.3699951171875,5368415
"ZBH","Week","Jul 7, 2023",144.8000030517578,144.8000030517578,139.83999633789062,140.86000061035156,3895642
"ZBH","Week","Jun 30, 2023",143.8699951171875,147.5,141.60000610351562,145.60000610351562,5445598
"ZBH","Week","Jun 23, 2023",143.3000030517578,145.02999877929688,142.2050018310547,143.99000549316406,4907697
"ZBH","Week","Jun 16, 2023",135.67999267578125,146.,134.38999938964844,144.10000610351562,9044655
"ZBH","Week","Jun 9, 2023",130.,136.4499969482422,129.14999389648438,136.00999450683594,7553357
"ZBH","Week","Jun 2, 2023",127.27999877929688,130.1199951171875,124.69999694824219,129.80999755859375,11154050
"ZBH","Week","May 26, 2023",135.22999572753906,137.1699981689453,126.4000015258789,127.6500015258789,6311766
"ZBH","Week","May 19, 2023",135.2100067138672,136.5399932861328,133.9600067138672,135.,2356968
"ZBH","Week","May 12, 2023",137.22,138.,135.,136.75,5225954
"ZBH","Week","May 5, 2023",138.28,149.25,136.39,137.91,10843357
"ZBH","Week","Apr 28, 2023",138.53,139.72,137.4,138.44,6526982
"ZBH","Week","Apr 21, 2023",139.28,140.29,137.37,137.92,1280983
"ZBH","Week","Apr 14, 2023",128.59,133.78,126.86,132.37,5917077
"ZBH","Week","Mar 31, 2023",127.36,129.32,124.91,129.2,4606875
"ZBH","Week","Mar 24, 2023",124.73,126.12,123.77,126.04,880470
"ZBH","Week","Mar 17, 2023",123.04,127.1,122.36,124.31,7029636
"ZBH","Week","Mar 10, 2023",126.23,126.23,121.61,123.53,5876462
"ZBH","Week","Mar 3, 2023",123.26,127.07,120.98,126.22,6628459
"ZBH","Week","Feb 24, 2023",122.75,123.13,121.53,122.7,878289
"ZBH","Week","Feb 17, 2023",128.19,128.59,124.32,125.97,6102611
"ZBH","Week","Feb 10, 2023",129.,131.61,127.3,127.91,6916637
"ZBH","Week","Feb 3, 2023",125.41,132.28,125.16,129.45,12141923
"ZBH","Week","Jan 27, 2023",124.99,127.16,123.65,125.88,7475681
"ZBH","Week","Jan 20, 2023",123.35,124.62,120.29,124.09,6638019
"ZBH","Week","Jan 13, 2023",128.07,128.67,121.87,123.38,9330831
"ZBH","Week","Jan 6, 2023",127.41,130.08,122.71,125.7,6897707
"ZBH","Week","Dec 30, 2022",127.,128.52,125.78,127.5,2977469
"ZBH","Week","Dec 23, 2022",125.33,127.11,124.22,126.69,4513944
"ZBH","Week","Dec 16, 2022",124.37,130.84,123.67,125.58,9704640
"ZBH","Week","Dec 9, 2022",121.93,127.25,120.35,124.4,8062256
"ZBH","Week","Dec 2, 2022",118.14,123.78,116.85,122.97,5564867
"ZBH","Week","Nov 25, 2022",113.42,119.54,113.26,119.21,3160668
"ZBH","Week","Nov 18, 2022",114.8,115.82,111.77,114.09,5022251
"ZBH","Week","Nov 11, 2022",105.56,115.97,105.,115.56,6255531
"ZBH","Week","Nov 4, 2022",113.4,115.25,103.75,104.85,9201839
"ZBH","Week","Oct 28, 2022",108.55,113.74,107.43,113.47,5173244
"ZBH","Week","Oct 21, 2022",108.59,113.44,102.6,107.39,5460338
"ZBH","Week","Oct 14, 2022",108.69,110.96,104.2,106.91,5954634
"ZBH","Week","Oct 7, 2022",106.01,113.26,105.21,108.26,4470195
"ZBH","Week","Sep 30, 2022",105.86,108.34,103.74,104.55,5675033
"ZBH","Week","Sep 23, 2022",111.75,113.56,104.6,106.21,5543579
"ZBH","Week","Sep 16, 2022",115.42,119.63,112.29,112.69,8330759
"ZBH","Week","Sep 9, 2022",106.11,114.65,104.06,114.5,3591367
"ZBH","Week","Sep 2, 2022",106.7,109.19,104.59,105.57,3546373
"ZBH","Week","Aug 26, 2022",111.99,112.82,107.44,107.51,3494451
"ZBH","Week","Aug 19, 2022",116.76,117.92,112.78,113.23,4040836
"ZBH","Week","Aug 12, 2022",113.83,117.29,112.14,117.22,3284234
"ZBH","Week","Aug 5, 2022",109.25,116.46,107.07,113.26,6337866
"ZBH","Week","Jul 29, 2022",107.01,111.39,106.73,110.39,7917486
"ZBH","Week","Jul 22, 2022",103.77,109.34,103.17,107.,6138354
"ZBH","Week","Jul 15, 2022",103.79,104.56,100.39,103.51,5085150
"ZBH","Week","Jul 8, 2022",105.99,107.08,104.21,105.34,3408516
"ZBH","Week","Jul 1, 2022",109.12,110.31,103.18,107.27,5460683
"ZBH","Week","Jun 24, 2022",104.56,109.2,101.22,108.87,5738777
"ZBH","Week","Jun 17, 2022",110.67,112.17,102.22,102.65,8491633
"ZBH","Week","Jun 10, 2022",122.05,122.05,112.58,113.38,5227381
"ZBH","Week","Jun 3, 2022",119.16,122.21,116.73,120.63,5614883
"ZBH","Week","May 27, 2022",119.24,121.62,117.98,119.83,4859387
"ZBH","Week","May 20, 2022",114.79,119.56,114.24,117.61,4898978
"ZBH","Week","May 13, 2022",118.66,119.82,111.5,115.07,7001070
"ZBH","Week","May 6, 2022",121.33,126.79,118.13,120.33,10250352
"ZBH","Week","Apr 29, 2022",125.2,127.91,120.39,120.75,5395507
"ZBH","Week","Apr 22, 2022",125.62,135.05,124.74,125.7,8020632
"ZBH","Week","Apr 14, 2022",129.1,130.02,125.68,126.,4182452
"ZBH","Week","Apr 8, 2022",126.93,130.66,124.66,129.62,8502407
