"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZBRA","Month","Sep 29, 2023",276.9599914550781,278.7550048828125,222.5800018310547,236.52999877929688,8607348
"ZBRA","Month","Aug 31, 2023",245.02000427246094,279.8800048828125,231.97999572753906,275.010009765625,13117640
"ZBRA","Month","Jul 31, 2023",299.3599853515625,308.0400085449219,299.3500061035156,307.9599914550781,546363
"ZBRA","Month","Jun 30, 2023",263.8800048828125,297.45001220703125,260.8999938964844,295.8299865722656,7855864
"ZBRA","Month","May 31, 2023",287.1700134277344,290.3399963378906,245.75,262.57000732421875,9163305
"ZBRA","Month","Apr 28, 2023",315.1300048828125,316.22900390625,278.2099914550781,288.0299987792969,4154636
"ZBRA","Month","Mar 31, 2023",310.,318.8500061035156,310.,318.,373445
"ZBRA","Month","Feb 28, 2023",296.75,300.67,295.18,300.25,512921
"ZBRA","Month","Jan 31, 2023",309.32,316.38,306.5,316.18,264864
"ZBRA","Month","Dec 30, 2022",268.76,276.14,241.01,256.41,8457552
"ZBRA","Month","Nov 30, 2022",264.4,274.85,224.87,270.28,13047085
"ZBRA","Month","Oct 31, 2022",264.94,288.61,248.17,283.22,8033157
"ZBRA","Month","Sep 30, 2022",296.58,316.6,261.63,262.01,8265958
"ZBRA","Month","Aug 31, 2022",352.42,365.97,298.23,301.64,7760559
"ZBRA","Month","Jul 29, 2022",292.23,358.39,283.72,357.69,7021492
"ZBRA","Month","Jun 30, 2022",339.61,347.91,287.93,293.95,10262531
"ZBRA","Month","May 31, 2022",371.66,383.06,309.,338.19,12462283
"ZBRA","Month","Apr 29, 2022",414.63,437.3,368.35,369.66,7504487
"ZBRA","Month","Mar 31, 2022",413.,440.64,375.63,413.7,9408700
"ZBRA","Month","Feb 28, 2022",509.3,520.32,385.34,413.34,10906221
"ZBRA","Month","Jan 31, 2022",592.08,599.73,462.32,509.12,8579246
"ZBRA","Month","Dec 31, 2021",597.8,615.,562.94,595.2,6209420
"ZBRA","Month","Nov 30, 2021",533.45,614.09,532.8,588.78,5489640
"ZBRA","Month","Oct 29, 2021",517.62,543.49,491.99,533.95,4695119
"ZBRA","Month","Sep 30, 2021",592.48,594.77,514.99,515.42,5112343
"ZBRA","Month","Aug 31, 2021",555.,594.14,527.54,587.17,4195632
