"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZBRA","Week","Oct 10, 2023",221.1699981689453,227.36000061035156,220.4199981689453,222.39999389648438,202321
"ZBRA","Week","Oct 6, 2023",236.52999877929688,236.69700622558594,219.3300018310547,223.85000610351562,1879201
"ZBRA","Week","Sep 29, 2023",225.75,241.66000366210938,222.5800018310547,236.52999877929688,2036294
"ZBRA","Week","Sep 22, 2023",250.52999877929688,253.71499633789062,224.57000732421875,227.14999389648438,2448420
"ZBRA","Week","Sep 15, 2023",257.7900085449219,258.125,248.86000061035156,251.3800048828125,2133141
"ZBRA","Week","Sep 8, 2023",275.739990234375,276.9750061035156,254.94000244140625,256.3699951171875,1677618
"ZBRA","Week","Sep 1, 2023",276.9599914550781,278.7550048828125,275.,275.95001220703125,311875
"ZBRA","Week","Aug 25, 2023",267.8999938964844,269.4700012207031,264.45001220703125,268.3900146484375,337273
"ZBRA","Week","Aug 18, 2023",261.82000732421875,274.0299987792969,260.80999755859375,271.9800109863281,699168
"ZBRA","Week","Aug 11, 2023",251.05999755859375,263.,245.35000610351562,261.94000244140625,2355434
"ZBRA","Week","Aug 4, 2023",299.3599853515625,308.0400085449219,231.97999572753906,251.41000366210938,6226884
"ZBRA","Week","Jul 28, 2023",303.42999267578125,304.8349914550781,296.42999267578125,299.17999267578125,534081
"ZBRA","Week","Jul 21, 2023",306.79998779296875,319.0400085449219,303.1700134277344,306.4599914550781,1476537
"ZBRA","Week","Jul 14, 2023",294.57000732421875,320.54998779296875,294.57000732421875,309.2799987792969,1573337
"ZBRA","Week","Jul 7, 2023",293.8900146484375,300.5,283.5400085449219,295.2200012207031,1096290
"ZBRA","Week","Jun 30, 2023",266.29998779296875,297.45001220703125,265.1199951171875,295.8299865722656,1595214
"ZBRA","Week","Jun 23, 2023",281.55999755859375,281.55999755859375,261.9100036621094,264.3299865722656,1714047
"ZBRA","Week","Jun 16, 2023",275.6099853515625,288.760009765625,274.91400146484375,282.3999938964844,1907015
"ZBRA","Week","Jun 9, 2023",276.3500061035156,280.5799865722656,266.5,274.6600036621094,1939912
"ZBRA","Week","Jun 2, 2023",268.0199890136719,279.6099853515625,260.8999938964844,278.010009765625,1624190
"ZBRA","Week","May 26, 2023",279.7099914550781,282.489990234375,257.19000244140625,264.7200012207031,1684017
"ZBRA","Week","May 19, 2023",281.29998779296875,283.8580017089844,278.0299987792969,280.79998779296875,419336
"ZBRA","Week","May 12, 2023",274.,278.16,262.31,266.16,1645296
"ZBRA","Week","May 5, 2023",287.17,290.34,245.75,273.8,3482696
"ZBRA","Week","Apr 28, 2023",288.34,293.48,278.21,288.03,1419358
"ZBRA","Week","Apr 21, 2023",289.92,289.94,285.,287.9,302560
"ZBRA","Week","Apr 14, 2023",297.28,307.33,294.8,303.08,915250
"ZBRA","Week","Mar 31, 2023",290.87,318.85,285.93,318.,1299806
"ZBRA","Week","Mar 24, 2023",286.58,289.29,283.07,288.73,321993
"ZBRA","Week","Mar 17, 2023",284.11,296.4,278.53,288.71,1544589
"ZBRA","Week","Mar 10, 2023",310.27,313.79,286.55,288.19,1133028
"ZBRA","Week","Mar 3, 2023",296.35,311.53,293.44,309.45,1954132
"ZBRA","Week","Feb 24, 2023",295.,296.69,288.88,291.92,415285
"ZBRA","Week","Feb 17, 2023",313.15,340.84,309.85,322.58,1838421
"ZBRA","Week","Feb 10, 2023",326.69,331.98,310.3,313.46,1910547
"ZBRA","Week","Feb 3, 2023",313.14,351.74,306.5,330.81,2234125
"ZBRA","Week","Jan 27, 2023",298.49,320.12,297.94,317.1,1994575
"ZBRA","Week","Jan 20, 2023",293.54,299.74,285.78,297.03,1316807
"ZBRA","Week","Jan 13, 2023",276.,301.84,273.52,293.7,2911799
"ZBRA","Week","Jan 6, 2023",260.87,277.86,254.68,273.42,1527852
"ZBRA","Week","Dec 30, 2022",249.35,258.05,246.13,256.41,996853
"ZBRA","Week","Dec 23, 2022",249.,253.8,241.01,248.22,1660979
"ZBRA","Week","Dec 16, 2022",253.84,274.7,244.72,248.92,2659826
"ZBRA","Week","Dec 9, 2022",272.88,273.1,250.53,251.45,2177451
"ZBRA","Week","Dec 2, 2022",268.38,276.14,257.74,274.86,3724779
"ZBRA","Week","Nov 25, 2022",253.95,274.85,253.13,271.9,1511771
"ZBRA","Week","Nov 18, 2022",261.71,266.04,250.22,256.1,2518963
"ZBRA","Week","Nov 11, 2022",232.52,265.98,225.76,263.38,2364974
"ZBRA","Week","Nov 4, 2022",283.43,287.97,224.87,230.56,4550893
"ZBRA","Week","Oct 28, 2022",264.3,288.61,259.01,288.,1867436
"ZBRA","Week","Oct 21, 2022",262.53,271.96,252.39,263.04,1580723
"ZBRA","Week","Oct 14, 2022",268.,277.99,248.17,255.61,2201838
"ZBRA","Week","Oct 7, 2022",264.94,285.28,261.69,266.68,1721308
"ZBRA","Week","Sep 30, 2022",268.55,274.23,261.63,262.01,1803913
"ZBRA","Week","Sep 23, 2022",285.01,295.14,262.84,268.04,1840830
"ZBRA","Week","Sep 16, 2022",310.88,314.79,285.96,288.52,2089683
"ZBRA","Week","Sep 9, 2022",296.39,308.44,286.58,307.84,1503454
"ZBRA","Week","Sep 2, 2022",304.9,316.6,294.41,297.6,2175093
"ZBRA","Week","Aug 26, 2022",322.33,331.65,308.09,308.16,1097782
"ZBRA","Week","Aug 19, 2022",345.82,350.34,327.61,328.41,1190177
"ZBRA","Week","Aug 12, 2022",332.49,346.79,318.5,346.74,1495845
"ZBRA","Week","Aug 5, 2022",352.42,365.97,316.05,331.7,2829740
"ZBRA","Week","Jul 29, 2022",325.5,358.39,320.96,357.69,1775416
"ZBRA","Week","Jul 22, 2022",299.58,334.58,293.77,326.68,1590949
"ZBRA","Week","Jul 15, 2022",293.99,298.96,283.72,297.72,1688902
"ZBRA","Week","Jul 8, 2022",294.77,306.37,290.39,299.52,1492372
"ZBRA","Week","Jul 1, 2022",311.31,312.99,289.83,299.34,1881060
"ZBRA","Week","Jun 24, 2022",293.51,310.36,290.77,308.91,2240239
"ZBRA","Week","Jun 17, 2022",295.65,312.71,287.93,288.46,2826610
"ZBRA","Week","Jun 10, 2022",341.48,342.4,304.1,305.35,2507376
"ZBRA","Week","Jun 3, 2022",343.78,347.91,331.73,334.77,1998834
"ZBRA","Week","May 27, 2022",330.16,343.53,318.68,343.53,2254070
"ZBRA","Week","May 20, 2022",333.07,347.15,314.91,325.37,2684957
"ZBRA","Week","May 13, 2022",335.,341.72,309.,336.86,3779624
"ZBRA","Week","May 6, 2022",371.66,383.06,333.37,342.59,3025897
"ZBRA","Week","Apr 29, 2022",375.82,390.44,368.35,369.66,2083969
"ZBRA","Week","Apr 22, 2022",391.,409.9,377.29,377.98,1411971
"ZBRA","Week","Apr 14, 2022",410.78,418.67,393.6,393.68,1259911
"ZBRA","Week","Apr 8, 2022",433.5,437.3,406.7,415.63,2243389
"ZBRA","Week","Apr 1, 2022",425.66,440.64,403.7,413.73,2008941
"ZBRA","Week","Mar 25, 2022",437.62,439.45,415.73,425.66,1878246
"ZBRA","Week","Mar 18, 2022",390.66,439.71,375.63,437.18,2461618
"ZBRA","Week","Mar 11, 2022",394.,402.91,380.91,386.07,1919348
"ZBRA","Week","Mar 4, 2022",414.25,418.52,391.88,394.24,2186877
"ZBRA","Week","Feb 25, 2022",416.,423.87,385.34,418.07,2067963
"ZBRA","Week","Feb 18, 2022",442.3,451.46,418.42,420.31,2959501
"ZBRA","Week","Feb 11, 2022",505.54,509.11,436.24,441.74,3642514
"ZBRA","Week","Feb 4, 2022",493.94,520.32,493.94,503.09,2060021
"ZBRA","Week","Jan 28, 2022",482.57,493.66,462.32,492.57,3177784
"ZBRA","Week","Jan 21, 2022",516.1,529.8,493.25,494.18,1455116
"ZBRA","Week","Jan 14, 2022",527.37,547.36,516.08,528.,1788016
"ZBRA","Week","Jan 7, 2022",592.08,599.73,530.14,530.86,1793469
"ZBRA","Week","Dec 31, 2021",585.93,609.32,583.23,595.2,1109084
"ZBRA","Week","Dec 23, 2021",575.51,586.85,562.94,582.41,1779819
"ZBRA","Week","Dec 17, 2021",613.17,614.03,578.9,588.52,1430132
"ZBRA","Week","Dec 10, 2021",593.31,615.,577.53,614.55,1137284
"ZBRA","Week","Dec 3, 2021",597.46,614.01,577.32,588.29,1474532
"ZBRA","Week","Nov 26, 2021",607.9,612.36,585.15,590.72,1042534
"ZBRA","Week","Nov 19, 2021",594.29,609.79,587.04,596.75,845054
"ZBRA","Week","Nov 12, 2021",612.23,614.09,578.84,591.84,833365
"ZBRA","Week","Nov 5, 2021",533.45,610.95,532.8,607.5,2047256
"ZBRA","Week","Oct 29, 2021",528.52,536.05,517.12,533.95,923454
"ZBRA","Week","Oct 22, 2021",513.38,543.49,511.52,527.92,912095
"ZBRA","Week","Oct 15, 2021",497.26,517.94,491.99,515.83,1167113
"ZBRA","Week","Oct 8, 2021",509.04,514.49,492.63,498.73,1157893
"ZBRA","Week","Oct 1, 2021",556.,558.91,507.42,510.98,1667975
"ZBRA","Week","Sep 24, 2021",559.76,561.69,540.94,559.48,1741599
"ZBRA","Week","Sep 17, 2021",587.69,588.15,567.16,569.15,1086976
"ZBRA","Week","Sep 10, 2021",593.58,593.58,572.9,580.63,606502
"ZBRA","Week","Sep 3, 2021",591.9,594.77,579.21,590.6,948969
"ZBRA","Week","Aug 27, 2021",574.33,588.34,574.33,587.96,836775
"ZBRA","Week","Aug 20, 2021",570.54,576.,551.09,571.49,822033
"ZBRA","Week","Aug 13, 2021",562.31,572.21,557.96,571.07,669074
"ZBRA","Week","Aug 6, 2021",555.,570.83,527.54,562.27,1462636
"ZBRA","Week","Jul 30, 2021",550.,554.22,529.21,552.48,949170
"ZBRA","Week","Jul 23, 2021",509.59,548.94,502.63,548.61,1064773
"ZBRA","Week","Jul 16, 2021",548.79,549.98,517.91,518.33,1039939
"ZBRA","Week","Jul 9, 2021",540.69,548.47,531.02,547.73,926328
"ZBRA","Week","Jul 2, 2021",511.92,541.26,510.56,539.94,1414678
"ZBRA","Week","Jun 25, 2021",494.39,514.59,492.68,510.65,1218073
"ZBRA","Week","Jun 18, 2021",509.1,513.09,484.34,493.43,1266619
