"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZION","Month","Sep 29, 2023",35.7599983215332,37.630001068115234,32.540000915527344,34.88999938964844,57348303
"ZION","Month","Aug 31, 2023",38.650001525878906,38.68000030517578,32.650901794433594,35.5,54855442
"ZION","Month","Jul 31, 2023",38.91999816894531,39.11000061035156,37.650001525878906,38.25,6195327
"ZION","Month","Jun 30, 2023",27.809999465942383,32.34000015258789,26.354999542236328,26.860000610351562,89819375
"ZION","Month","May 31, 2023",27.940000534057617,30.670000076293945,18.260000228881836,27.290000915527344,185282840
"ZION","Month","Apr 28, 2023",30.290000915527344,33.130001068115234,25.90999984741211,27.860000610351562,100405517
"ZION","Month","Mar 31, 2023",30.510000228881836,30.8799991607666,29.299999237060547,29.93000030517578,5143314
"ZION","Month","Feb 28, 2023",50.69,51.05,50.46,50.62,1475196
"ZION","Month","Jan 31, 2023",52.27,53.16,52.,53.16,1020653
"ZION","Month","Dec 30, 2022",52.2,52.6,45.21,49.16,27665895
"ZION","Month","Nov 30, 2022",52.39,56.1,47.46,51.82,29393283
"ZION","Month","Oct 31, 2022",51.73,54.52,46.58,51.94,35928914
"ZION","Month","Sep 30, 2022",54.75,59.75,50.78,50.86,26071906
"ZION","Month","Aug 31, 2022",54.29,59.51,53.01,55.03,23218788
"ZION","Month","Jul 29, 2022",50.64,54.7,47.92,54.55,27935715
"ZION","Month","Jun 30, 2022",56.93,57.79,49.94,50.9,31124692
"ZION","Month","May 31, 2022",57.1,59.51,50.62,57.04,30219689
"ZION","Month","Apr 29, 2022",66.61,67.25,55.05,56.51,33289089
"ZION","Month","Mar 31, 2022",70.27,71.25,61.75,65.56,40595126
"ZION","Month","Feb 28, 2022",67.62,75.44,63.91,70.89,29118647
"ZION","Month","Jan 31, 2022",63.88,71.21,59.49,67.82,32969972
"ZION","Month","Dec 31, 2021",64.4,65.27,58.18,63.16,27485136
"ZION","Month","Nov 30, 2021",63.55,68.25,62.71,63.08,25291340
"ZION","Month","Oct 29, 2021",62.2,66.99,60.48,62.99,25945652
"ZION","Month","Sep 30, 2021",57.25,64.,54.37,61.89,27804435
"ZION","Month","Aug 31, 2021",52.35,58.62,50.8,57.9,25210462
"ZION","Month","Jul 30, 2021",53.69,54.02,47.06,52.15,30507250
"ZION","Month","Jun 30, 2021",58.29,59.26,49.79,52.86,27399251
"ZION","Month","May 28, 2021",56.45,60.65,55.,57.88,25776856
"ZION","Month","Apr 30, 2021",54.55,57.1,51.63,55.8,27983033
"ZION","Month","Mar 31, 2021",53.83,60.22,52.18,54.96,35671219
"ZION","Month","Feb 26, 2021",44.43,57.7,44.02,53.17,26378455
"ZION","Month","Jan 29, 2021",43.08,51.22,42.12,44.14,31035854
"ZION","Month","Dec 31, 2020",39.53,44.3,39.04,43.44,35406180
"ZION","Month","Nov 30, 2020",32.72,42.24,30.6,38.59,56041500
"ZION","Month","Oct 30, 2020",29.22,33.32,28.57,32.27,39381517
"ZION","Month","Sep 30, 2020",31.86,33.97,27.55,29.22,34327625
"ZION","Month","Aug 31, 2020",32.6,36.51,31.33,32.16,29762883
"ZION","Month","Jul 31, 2020",33.93,34.49,30.12,32.47,38879769
"ZION","Month","Jun 30, 2020",33.16,40.97,32.21,34.,57364585
"ZION","Month","May 29, 2020",31.25,35.31,25.07,32.9,60826766
"ZION","Month","Apr 30, 2020",25.87,32.84,24.41,31.61,73844993
"ZION","Month","Mar 31, 2020",39.67,41.34,23.58,26.76,134104363
"ZION","Month","Feb 28, 2020",45.85,48.41,39.1,39.95,43026658
"ZION","Month","Jan 31, 2020",52.36,52.48,45.4,45.49,44236285
"ZION","Month","Dec 31, 2019",50.2,52.08,48.03,51.92,35473765
"ZION","Month","Nov 29, 2019",48.92,51.55,48.53,49.78,45513619
"ZION","Month","Oct 31, 2019",44.77,49.6,41.61,48.47,46674188
"ZION","Month","Sep 30, 2019",40.78,45.42,39.65,44.52,40192095
"ZION","Month","Aug 30, 2019",44.85,45.18,39.11,41.09,56334613
"ZION","Month","Jul 31, 2019",46.33,46.81,41.95,45.07,52258838
"ZION","Month","Jun 28, 2019",42.93,46.03,42.8,45.98,38930785
"ZION","Month","May 31, 2019",49.34,50.19,42.94,43.07,45383610
"ZION","Month","Apr 30, 2019",45.71,49.84,45.71,49.33,42017175
"ZION","Month","Mar 29, 2019",51.44,51.81,43.18,45.41,54257360
"ZION","Month","Feb 28, 2019",47.8,51.72,47.45,51.1,47058246
"ZION","Month","Jan 31, 2019",40.03,49.2,40.03,47.59,60621228
"ZION","Month","Dec 31, 2018",49.17,49.47,38.08,40.74,59432159
"ZION","Month","Nov 30, 2018",47.22,50.94,46.46,48.66,52106705
"ZION","Month","Oct 31, 2018",50.39,52.26,45.2,47.05,70414547
"ZION","Month","Sep 28, 2018",53.35,54.37,49.79,50.15,34442413
"ZION","Month","Aug 31, 2018",51.93,54.76,51.93,53.29,39723572
"ZION","Month","Jul 31, 2018",52.43,54.99,50.75,51.7,53246948
"ZION","Month","Jun 29, 2018",55.71,57.6,52.65,52.69,39186591
"ZION","Month","May 31, 2018",54.56,59.19,53.76,54.81,44232835
"ZION","Month","Apr 30, 2018",52.64,56.95,50.84,54.75,47794839
"ZION","Month","Mar 29, 2018",55.11,57.29,51.17,52.73,53087408
"ZION","Month","Feb 28, 2018",53.79,57.07,49.76,54.97,56617112
"ZION","Month","Jan 31, 2018",52.17,55.02,50.16,54.03,43353770
"ZION","Month","Dec 29, 2017",49.52,52.2,48.28,50.83,43203160
"ZION","Month","Nov 30, 2017",46.71,50.51,43.5,49.55,47125063
"ZION","Month","Oct 31, 2017",46.65,48.26,45.06,46.46,43182025
"ZION","Month","Sep 29, 2017",43.69,47.7,41.22,47.18,49992941
"ZION","Month","Aug 31, 2017",45.51,46.46,43.26,43.66,43168971
"ZION","Month","Jul 31, 2017",44.24,46.29,43.36,45.32,50476816
"ZION","Month","Jun 30, 2017",40.48,44.85,39.62,43.91,60046009
"ZION","Month","May 31, 2017",40.25,41.58,38.43,40.07,74337057
"ZION","Month","Apr 28, 2017",42.,42.42,39.22,40.03,56644061
"ZION","Month","Mar 31, 2017",48.33,48.33,39.09,42.,62565434
"ZION","Month","Feb 28, 2017",42.69,45.52,41.58,44.9,42910178
"ZION","Month","Jan 31, 2017",43.74,44.33,41.36,42.19,49800630
"ZION","Month","Dec 30, 2016",39.82,44.15,39.67,43.04,58048245
"ZION","Month","Nov 30, 2016",32.36,40.,30.85,39.79,80210311
"ZION","Month","Oct 31, 2016",30.8,32.72,30.07,32.21,61446099
"ZION","Month","Sep 30, 2016",30.75,31.35,29.63,31.02,66892686
"ZION","Month","Aug 31, 2016",27.9,30.61,26.74,30.59,56295640
"ZION","Month","Jul 29, 2016",24.93,28.38,23.02,27.88,76203605
"ZION","Month","Jun 30, 2016",27.77,29.46,23.34,25.13,83849065
"ZION","Month","May 31, 2016",27.71,28.48,25.53,28.02,58293083
"ZION","Month","Apr 29, 2016",24.,27.87,23.14,27.52,61406617
"ZION","Month","Mar 31, 2016",21.46,25.6,21.4,24.21,72013277
"ZION","Month","Feb 29, 2016",22.55,22.65,19.65,21.32,81484468
"ZION","Month","Jan 29, 2016",26.56,26.91,20.33,22.68,91558352
"ZION","Month","Dec 31, 2015",30.11,30.55,26.42,27.3,73997969
"ZION","Month","Nov 30, 2015",28.93,31.18,28.77,29.96,42241636
"ZION","Month","Oct 30, 2015",27.62,29.74,26.22,28.77,50830684
"ZION","Month","Sep 30, 2015",28.23,29.42,27.11,27.54,56969329
"ZION","Month","Aug 31, 2015",31.25,31.64,26.42,29.,62935628
"ZION","Month","Jul 31, 2015",32.03,32.42,29.65,31.19,75869015
"ZION","Month","Jun 30, 2015",29.04,33.03,28.3,31.74,76502950
"ZION","Month","May 29, 2015",28.52,29.52,28.2,28.88,34358447
"ZION","Month","Apr 30, 2015",27.01,28.65,26.2,28.33,39533557
"ZION","Month","Mar 31, 2015",26.67,28.12,26.14,27.,61634454
"ZION","Month","Feb 27, 2015",24.12,26.95,23.9,26.74,42585531
"ZION","Month","Jan 30, 2015",28.67,28.72,23.72,23.96,65302649
"ZION","Month","Dec 31, 2014",27.91,29.,26.49,28.51,61788234
"ZION","Month","Nov 28, 2014",29.,29.93,27.96,28.06,32646473
"ZION","Month","Oct 31, 2014",29.03,29.08,25.02,28.97,66661930
"ZION","Month","Sep 30, 2014",29.27,30.45,28.41,29.06,55699029
"ZION","Month","Aug 29, 2014",28.7,29.47,27.44,29.14,51218377
"ZION","Month","Jul 31, 2014",29.5,30.89,28.4,28.82,66797990
"ZION","Month","Jun 30, 2014",28.61,30.39,28.27,29.47,35368762
"ZION","Month","May 30, 2014",28.87,29.66,27.65,28.59,40636104
"ZION","Month","Apr 30, 2014",31.08,31.87,28.36,28.92,54313129
"ZION","Month","Mar 31, 2014",30.89,33.33,29.38,30.98,69435883
"ZION","Month","Feb 28, 2014",28.59,31.41,27.82,31.2,41183117
"ZION","Month","Jan 31, 2014",29.9,32.29,28.72,28.75,47720901
"ZION","Month","Dec 31, 2013",29.34,30.13,27.92,29.96,43300271
"ZION","Month","Nov 29, 2013",28.46,29.88,27.61,29.33,33458852
"ZION","Month","Oct 31, 2013",27.44,30.07,26.89,28.4,56379978
"ZION","Month","Sep 30, 2013",28.66,29.5,26.79,27.42,37614699
"ZION","Month","Aug 30, 2013",29.91,30.4,27.76,27.97,35985367
"ZION","Month","Jul 31, 2013",29.09,31.4,29.,29.64,51346788
"ZION","Month","Jun 28, 2013",28.17,29.41,26.39,28.92,45231924
"ZION","Month","May 31, 2013",24.59,28.74,24.07,28.07,40389965
"ZION","Month","Apr 30, 2013",25.07,25.17,23.1,24.62,46282443
"ZION","Month","Mar 28, 2013",24.04,25.86,23.69,24.99,36587161
"ZION","Month","Feb 28, 2013",23.5,24.92,23.24,24.15,43613158
"ZION","Month","Jan 31, 2013",21.88,23.6,21.56,23.32,54058522
"ZION","Month","Dec 31, 2012",20.14,21.93,19.31,21.4,54691756
"ZION","Month","Nov 30, 2012",21.43,22.01,19.03,20.07,51322619
"ZION","Month","Oct 31, 2012",20.79,22.66,20.59,21.48,61461985
"ZION","Month","Sep 28, 2012",19.19,21.67,19.06,20.66,41927269
"ZION","Month","Aug 31, 2012",18.29,19.81,17.82,19.25,33829410
"ZION","Month","Jul 31, 2012",19.52,19.82,17.58,18.2,53608083
"ZION","Month","Jun 29, 2012",18.61,19.9,17.45,19.42,60699764
"ZION","Month","May 31, 2012",20.31,21.01,18.07,19.03,55876256
"ZION","Month","Apr 30, 2012",21.39,21.55,19.51,20.39,69951433
"ZION","Month","Mar 30, 2012",19.08,22.81,17.75,21.46,81263347
"ZION","Month","Feb 29, 2012",16.99,20.11,16.8,19.,71125686
"ZION","Month","Jan 31, 2012",16.66,19.02,16.4,16.83,78880904
"ZION","Month","Dec 30, 2011",16.04,16.99,14.52,16.28,71291086
"ZION","Month","Nov 30, 2011",16.69,17.62,14.63,16.09,68383440
"ZION","Month","Oct 31, 2011",14.29,18.51,13.18,17.36,103293020
"ZION","Month","Sep 30, 2011",17.35,17.53,14.07,14.08,79326048
"ZION","Month","Aug 31, 2011",22.15,22.25,14.82,17.44,113589966
"ZION","Month","Jul 29, 2011",24.01,24.71,21.67,21.9,68543021
"ZION","Month","Jun 30, 2011",23.72,24.16,21.36,24.01,62803165
"ZION","Month","May 31, 2011",24.6,24.7,22.74,23.83,48807017
"ZION","Month","Apr 29, 2011",23.27,24.92,22.84,24.44,65149230
"ZION","Month","Mar 31, 2011",23.44,23.73,22.08,23.06,74641269
"ZION","Month","Feb 28, 2011",23.86,25.6,22.9,23.36,67295009
"ZION","Month","Jan 31, 2011",24.74,25.48,22.81,23.58,80866854
"ZION","Month","Dec 31, 2010",19.75,24.58,19.43,24.23,83653551
"ZION","Month","Nov 30, 2010",20.82,22.66,18.84,19.45,72989821
"ZION","Month","Oct 29, 2010",21.65,22.7,20.55,20.75,73983012
"ZION","Month","Sep 30, 2010",18.81,22.21,18.54,21.36,83224262
"ZION","Month","Aug 31, 2010",22.57,23.19,17.91,18.42,74850141
"ZION","Month","Jul 30, 2010",21.43,24.39,19.29,22.19,116336868
