"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ZTS","Month","Sep 29, 2023",192.97000122070312,193.35000610351562,172.7899932861328,173.97999572753906,31009784
"ZTS","Month","Aug 31, 2023",187.4600067138672,194.36500549316406,177.25,190.50999450683594,40337170
"ZTS","Month","Jul 31, 2023",189.17999267578125,190.08999633789062,186.44000244140625,188.08999633789062,1500811
"ZTS","Month","Jun 30, 2023",162.89999389648438,174.6750030517578,161.61000061035156,172.2100067138672,42693509
"ZTS","Month","May 31, 2023",175.72000122070312,187.82000732421875,158.64999389648438,163.00999450683594,50323709
"ZTS","Month","Apr 28, 2023",166.7899932861328,177.44000244140625,164.1999969482422,175.77999877929688,26892160
"ZTS","Month","Mar 31, 2023",165.10000610351562,166.49000549316406,164.02999877929688,166.44000244140625,1705029
"ZTS","Month","Feb 28, 2023",165.2,168.55,165.04,167.,2935201
"ZTS","Month","Jan 31, 2023",164.5,165.71,162.62,165.49,2691967
"ZTS","Month","Dec 30, 2022",156.,158.48,140.76,146.55,44243242
"ZTS","Month","Nov 30, 2022",151.4,154.91,124.15,154.14,62047515
"ZTS","Month","Oct 31, 2022",149.28,155.63,141.87,150.78,39664930
"ZTS","Month","Sep 30, 2022",155.79,167.21,147.77,148.29,41026344
"ZTS","Month","Aug 31, 2022",181.,182.12,156.21,156.53,33912675
"ZTS","Month","Jul 29, 2022",172.07,183.8,165.75,182.55,32507126
"ZTS","Month","Jun 30, 2022",170.87,175.21,154.18,171.89,39574144
"ZTS","Month","May 31, 2022",176.39,180.44,156.67,170.93,55044788
"ZTS","Month","Apr 29, 2022",188.77,201.32,176.44,177.25,42422913
"ZTS","Month","Mar 31, 2022",193.91,197.38,181.16,188.59,49016968
"ZTS","Month","Feb 28, 2022",200.99,205.3,183.02,193.65,49222883
"ZTS","Month","Jan 31, 2022",242.29,243.24,185.72,199.79,60555880
"ZTS","Month","Dec 31, 2021",222.35,249.27,219.25,244.03,30445350
"ZTS","Month","Nov 30, 2021",215.82,228.89,208.78,222.04,33571848
"ZTS","Month","Oct 29, 2021",194.14,216.91,190.93,216.2,28135054
"ZTS","Month","Sep 30, 2021",204.56,210.1,191.33,194.14,31838084
"ZTS","Month","Aug 31, 2021",203.48,208.56,195.61,204.56,27650531
"ZTS","Month","Jul 30, 2021",187.,205.67,186.61,202.7,38903576
"ZTS","Month","Jun 30, 2021",177.36,188.53,171.88,186.36,35857647
"ZTS","Month","May 28, 2021",174.7,178.71,165.22,176.68,37435901
"ZTS","Month","Apr 30, 2021",157.71,174.85,155.41,173.03,37304339
"ZTS","Month","Mar 31, 2021",156.11,160.38,141.41,157.48,53748275
"ZTS","Month","Feb 26, 2021",156.2,170.07,154.25,155.24,39489321
"ZTS","Month","Jan 29, 2021",166.,170.49,152.3,154.25,34346018
"ZTS","Month","Dec 31, 2020",161.64,165.68,156.44,165.5,34098906
"ZTS","Month","Nov 30, 2020",161.31,176.64,159.24,160.38,38714366
"ZTS","Month","Oct 30, 2020",166.23,168.96,156.25,158.55,36486109
"ZTS","Month","Sep 30, 2020",160.71,166.79,152.5,165.37,32363345
"ZTS","Month","Aug 31, 2020",152.19,163.98,151.73,160.1,31823558
"ZTS","Month","Jul 31, 2020",137.29,151.91,135.34,151.68,30178086
"ZTS","Month","Jun 30, 2020",138.65,143.21,130.4,137.04,37997457
"ZTS","Month","May 29, 2020",127.44,140.24,121.5,139.39,46162481
"ZTS","Month","Apr 30, 2020",113.93,131.54,110.75,129.31,53021161
"ZTS","Month","Mar 31, 2020",133.84,143.7,90.14,117.69,87331599
"ZTS","Month","Feb 28, 2020",134.73,146.26,127.,133.23,42839343
"ZTS","Month","Jan 31, 2020",132.05,143.33,131.48,134.21,41111115
"ZTS","Month","Dec 31, 2019",120.87,133.66,118.,132.35,40904512
"ZTS","Month","Nov 29, 2019",128.78,129.18,114.96,120.52,50982965
"ZTS","Month","Oct 31, 2019",124.99,130.2,121.04,127.92,42252216
"ZTS","Month","Sep 30, 2019",126.13,130.08,119.52,124.59,42532119
"ZTS","Month","Aug 30, 2019",114.9,128.41,111.87,126.42,43728750
"ZTS","Month","Jul 31, 2019",114.33,116.69,112.43,114.89,35711610
"ZTS","Month","Jun 28, 2019",101.54,116.47,101.54,113.49,47275193
"ZTS","Month","May 31, 2019",102.12,104.41,100.04,101.05,38701844
"ZTS","Month","Apr 30, 2019",102.41,103.39,96.89,101.84,44093227
"ZTS","Month","Mar 29, 2019",94.99,100.94,91.21,100.67,46719141
"ZTS","Month","Feb 28, 2019",86.55,95.55,85.39,94.23,46517140
"ZTS","Month","Jan 31, 2019",84.51,87.25,81.37,86.16,53756089
"ZTS","Month","Dec 31, 2018",94.64,94.67,78.9,85.54,43965700
"ZTS","Month","Nov 30, 2018",93.77,96.57,87.9,93.87,50990572
"ZTS","Month","Oct 31, 2018",92.03,94.31,86.4,90.15,54405312
"ZTS","Month","Sep 28, 2018",90.81,91.79,87.93,91.56,39202545
"ZTS","Month","Aug 31, 2018",86.05,93.67,85.,90.6,51381530
"ZTS","Month","Jul 31, 2018",84.78,87.71,83.25,86.48,50766331
"ZTS","Month","Jun 29, 2018",84.32,89.25,83.34,85.19,60849965
"ZTS","Month","May 31, 2018",83.46,85.64,77.,83.7,56750237
"ZTS","Month","Apr 30, 2018",83.17,86.38,80.06,83.48,44722488
"ZTS","Month","Mar 29, 2018",80.86,85.73,79.83,83.51,55239020
"ZTS","Month","Feb 28, 2018",76.84,83.46,70.2,80.86,61784209
"ZTS","Month","Jan 31, 2018",72.54,80.13,71.34,76.73,58619414
"ZTS","Month","Dec 29, 2017",72.22,73.58,70.48,72.04,34818134
"ZTS","Month","Nov 30, 2017",64.2,72.71,64.02,72.29,57779291
"ZTS","Month","Oct 31, 2017",63.84,66.35,63.03,63.82,48568271
"ZTS","Month","Sep 29, 2017",62.75,65.83,62.43,63.76,40963713
"ZTS","Month","Aug 31, 2017",62.6,62.85,59.5,62.7,53256269
"ZTS","Month","Jul 31, 2017",62.4,63.53,60.8,62.52,43937275
"ZTS","Month","Jun 30, 2017",62.45,63.85,60.92,62.38,56338810
"ZTS","Month","May 31, 2017",56.14,63.11,55.48,62.28,76422306
"ZTS","Month","Apr 28, 2017",53.35,56.65,52.25,56.11,53360426
"ZTS","Month","Mar 31, 2017",53.73,54.82,52.64,53.37,64827748
"ZTS","Month","Feb 28, 2017",54.93,56.5,52.,53.31,89417131
"ZTS","Month","Jan 31, 2017",53.88,54.97,52.71,54.94,57395445
"ZTS","Month","Dec 30, 2016",50.41,54.15,48.54,53.53,59818635
"ZTS","Month","Nov 30, 2016",47.61,52.19,46.86,50.38,91536475
"ZTS","Month","Oct 31, 2016",51.76,53.14,47.76,47.8,64563492
"ZTS","Month","Sep 30, 2016",51.15,52.17,50.07,52.01,74985018
"ZTS","Month","Aug 31, 2016",50.47,52.64,49.29,51.1,81313355
"ZTS","Month","Jul 29, 2016",47.5,50.58,46.83,50.47,49970579
"ZTS","Month","Jun 30, 2016",47.49,48.68,45.28,47.46,68563055
"ZTS","Month","May 31, 2016",47.2,48.37,45.56,47.42,89363462
"ZTS","Month","Apr 29, 2016",44.02,49.1,43.97,47.03,79622223
"ZTS","Month","Mar 31, 2016",41.49,44.54,39.35,44.33,108775794
"ZTS","Month","Feb 29, 2016",43.,43.39,38.26,41.06,94750599
